Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,Age,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Kidhome,Teenhome,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,K_cluster,AcceptedCmpTotal,TotalMntprod
58138.00000000002,58.000000000000014,635.0000000000001,87.99999999999999,546.0,143.99999999999997,87.99999999999999,87.99999999999999,56.999999999999986,3.0,8.000000000000002,10.000000000000002,3.999999999999999,6.999999999999998,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1589.0
46343.999999999985,37.99999999999999,11.0,1.0,6.000000000000001,2.0000000000000004,1.0,5.999999999999999,60.00000000000001,2.0000000000000004,1.0,1.0,2.0000000000000004,5.0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,27.0
71612.99999999997,26.0,426.0000000000001,49.000000000000014,126.99999999999997,110.99999999999996,21.000000000000004,42.0,48.99999999999999,1.0,8.000000000000002,2.0000000000000004,10.000000000000002,3.999999999999999,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,776.0000000000001
26646.000000000004,26.0,11.0,3.999999999999999,20.0,10.000000000000002,3.0,5.0,30.0,2.0000000000000004,2.0000000000000004,0.0,3.999999999999999,5.999999999999999,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,53.0
58293.00000000001,94.0,173.0,42.99999999999999,118.00000000000003,45.99999999999999,26.999999999999996,14.999999999999998,33.00000000000001,5.0,5.0,3.0,5.999999999999999,5.0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,422.0
62512.999999999985,16.0,520.0,42.0,97.99999999999999,0.0,42.0,14.0,47.00000000000001,2.0000000000000004,5.999999999999999,3.999999999999999,10.000000000000002,5.999999999999999,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,716.0
55635.00000000004,33.99999999999999,235.0000000000001,64.99999999999997,163.99999999999994,50.0,48.99999999999999,26.999999999999996,42.99999999999999,3.999999999999999,6.999999999999998,3.0,6.999999999999998,5.999999999999999,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,590.0
33454.000000000015,32.0,76.00000000000001,10.000000000000002,56.00000000000001,3.0,1.0,23.000000000000004,29.000000000000004,2.0000000000000004,3.999999999999999,0.0,3.999999999999999,8.000000000000002,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,169.00000000000003
30351.00000000002,18.999999999999996,14.0,0.0,23.999999999999996,3.0,3.0,2.000000000000001,40.00000000000001,1.0,3.0,0.0,2.0000000000000004,9.000000000000002,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,46.0
5648.000000000003,68.00000000000001,28.000000000000004,0.0,6.000000000000001,0.9999999999999998,1.0,12.999999999999996,63.999999999999986,1.0,1.0,0.0,0.0,20.0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,-1,1,49.0
